rep,seed,sx2,trunc,lam_mean,lam_min,lam_max,meff_mean,cens
148,152345,0.04535826854969608,0,0.8638690116695522,0.6766756670378028,0.973542729381054,28.76618512090642,0.4
149,153345,0.02866521195889338,0,0.7838010715860143,0.6340545599152216,0.8940778481060926,27.27993295974206,0.42000000000000004
150,154345,0.027272206887479278,0,0.7697888969367395,0.5525472395676582,0.9533007885415249,27.826691915551933,0.45999999999999996
151,155345,0.03827912919007785,0,0.8459321287766105,0.6722125580934114,0.9747605642567378,29.429581090775073,0.5
152,156345,0.030078776059805325,0,0.8082110502896279,0.5020879589637482,0.9485615282460481,29.131407602550844,0.56
153,157345,0.04467566126823195,0,0.8600755341598587,0.6631821994461243,0.9650754000837275,29.426974252099402,0.36
154,158345,0.019010490586383242,0,0.7328200910169503,0.4360645309816167,0.9867183105353549,26.620413708535477,0.48
155,159345,0.029907003159519385,0,0.7978035776155322,0.6528111838677724,0.9615872382699091,26.00585162422975,0.5
156,160345,0.03690608178663796,0,0.8290496695233953,0.680407904515499,0.9716594340142992,27.341637217309014,0.5800000000000001
157,161345,0.042767210151060046,0,0.8535769426925716,0.639975167081197,0.9879548135556793,28.363505021433262,0.52
158,162345,0.04048904495535646,0,0.8502589491117828,0.6941581595029127,0.9726104564108091,29.489320876544852,0.45999999999999996
159,163345,0.038106006983619975,0,0.8464092499431678,0.6857437373997122,0.9839881713915414,29.341215395084173,0.36
160,164345,0.02852379946010384,0,0.7782569153951221,0.6120532140907102,0.9784977302546028,27.268000316186153,0.56
161,165345,0.028237264700016605,0,0.7788485957798815,0.5528802670584989,0.9280549358566911,26.674209116129113,0.45999999999999996
162,166345,0.033534017974808025,0,0.8226604425819923,0.6667791110011141,0.9548098824311718,30.257945321131874,0.4
163,167345,0.028182639538099866,0,0.7724847508978782,0.5304798370498985,0.9212016587099944,27.718995658238438,0.42000000000000004
164,168345,0.03578687185719956,0,0.8115835303420069,0.6372086011589354,0.9956925785571881,26.204856995098613,0.45999999999999996
165,169345,0.03308326557502662,0,0.8077740956001109,0.5787505798867965,0.9795210811426185,27.375095119825527,0.42000000000000004
166,170345,0.020872061994968143,0,0.7046142635764315,0.4689867642161722,0.9379889618829508,24.714540607920465,0.5
167,171345,0.027444778082815795,0,0.7902901729353683,0.4999291706518499,0.983682212592063,29.265813053459098,0.52
168,172345,0.028744902937094363,0,0.7973362117254875,0.6032635283945532,0.9593296559599158,30.362490488823678,0.33999999999999997
169,173345,0.026293604379153214,0,0.7615540552880583,0.5260299972971133,0.9147691222570246,27.551708407023824,0.43999999999999995
170,174345,0.032196364011194356,0,0.8180077372205541,0.6422262144067284,0.9815377760032106,29.971286212636482,0.48
171,175345,0.039267526773148625,0,0.8158195263521367,0.6178054600620406,0.9821630121434147,24.128172489828156,0.5
172,176345,0.04159858791376427,0,0.8484170239282137,0.619107347322268,0.9432437958111242,28.657020060528776,0.45999999999999996
173,177345,0.025790136461318672,0,0.7527755119813792,0.5344487949039831,0.9463186661358194,26.50995084010738,0.43999999999999995
174,178345,0.04211913951096606,0,0.8618967456543544,0.6745880153847331,0.996145141505276,28.953610942858116,0.48
175,179345,0.05505240457910507,0,0.8827327319174612,0.731525472415931,0.9854782711523308,24.593885713758464,0.38
176,180345,0.02522571827250785,0,0.7654967203966392,0.574261690237878,0.929810011947658,27.017605390763766,0.4
177,181345,0.04222956437505771,0,0.850190259775482,0.6417868102728422,0.9796014873633846,27.641268103530702,0.52
178,182345,0.036055147525223555,0,0.825012195455974,0.5858910552053069,0.9729769420568911,27.246302530449455,0.42000000000000004
179,183345,0.023772623633777135,0,0.7561572447018822,0.5664879243241742,0.9930149247484868,27.937714565124068,0.45999999999999996
180,184345,0.03911347410192627,0,0.8464081833517486,0.677266785256962,0.950352290546713,28.535976164028376,0.42000000000000004
181,185345,0.05401935836999651,0,0.8968954586634594,0.7911400311768227,0.9846483671012674,28.709188808448616,0.42000000000000004
182,186345,0.05032233552006955,0,0.8766261336562248,0.7283788908759876,0.9599005423816639,28.621840328415242,0.5
183,187345,0.03625906232983534,0,0.8177535297188184,0.6598277642827595,0.9425299498022722,26.83823010248067,0.43999999999999995
184,188345,0.035547495582388074,0,0.8113177033672961,0.5985064398761154,0.9409105533568823,27.956345681202656,0.28
185,189345,0.03745136454845359,0,0.8216476514727036,0.6416343311006095,0.9871946335018457,26.71198143035232,0.45999999999999996
186,190345,0.03447349141335116,0,0.8127399073207293,0.6037398471467132,0.9690599659167419,28.397404773467432,0.45999999999999996
