rep,method,beta,se,ci_lo,ci_hi,p,div
8,Naive,-1.066311548201508,0.8825289548274876,-2.79603651497716,0.663413418574144,0.22695288420705634,0
8,StdRC,-1.102504161176656,0.9124836420437203,-2.8909392360642867,0.6859309137109746,0.22695288420705623,0
8,GRC,-1.0808369293284499,0.9037483563038616,-2.8521511587712913,0.6904773001143913,0.23171646769010062,0
8,Bayesian,-1.1599297216709998,0.6814015779475623,-2.5391500825,0.22118609499999972,0.082,0
9,Oracle,-4.664182292958424,1.3275915212404958,-7.266213860770538,-2.06215072514631,0.00044263393003204086,0
9,Naive,-3.845002704409306,1.290550271236356,-6.374434756270961,-1.3155706525476503,0.002888593394209831,0
9,StdRC,-4.046033737375657,1.3580250362928619,-6.707713898613366,-1.384353576137948,0.0028885933942098315,0
9,GRC,-4.1092384350875015,1.3553419307286856,-6.765659806052707,-1.4528170641222968,0.00243033220842966,0
9,Bayesian,-2.32984481157,0.7837742022717412,-3.85756734,-0.7976491177500001,0.002,0
10,Oracle,-0.3529596732702072,1.8387689769038296,-3.956880643891276,3.250961297350861,0.8477779767940935,0
10,Naive,0.2830747897285216,1.661715526002929,-2.9738277937882507,3.539977373245294,0.864734158070777,0
10,StdRC,0.30727778581100706,1.8037927996613339,-3.2280911370978806,3.8426467087198946,0.864734158070777,0
10,GRC,0.264059185453757,1.7774708203733924,-3.219719606048956,3.7478379769564696,0.881901672526548,0
10,Bayesian,-0.61867321984292,1.0153702265812963,-2.6373678524999997,1.342939734999999,0.538,0
11,Oracle,-0.31507663026717286,1.188692909189317,-2.6448719209563754,2.0147186604220293,0.7909621471177312,0
11,Naive,-0.6960842178081575,1.0722895940238781,-2.7977332030920348,1.4055647674757195,0.516236949281855,0
11,StdRC,-0.7401485994949294,1.1401689924371952,-2.974838760961153,1.4945415619712943,0.516236949281855,0
11,GRC,-0.7329880956412216,1.1233302465072712,-2.9346749215399743,1.468698730257531,0.5140699984973918,0
11,Bayesian,-0.9378362869704001,0.7671194086421472,-2.4492167175,0.5721183887499999,0.222,0
12,Oracle,-0.42109976131626575,1.4419232297477964,-3.2472173600936207,2.405017837461089,0.7702557749749164,0
12,Naive,-1.2733946248298729,1.536487583107875,-4.284854950414301,1.7380657007545555,0.40723463678263816,0
12,StdRC,-1.3582962981929403,1.6389305841727355,-4.5705412163326935,1.853948619946813,0.4072346367826384,0
12,GRC,-1.362066969661147,1.6271611021588288,-4.55124412693695,1.827110187614657,0.40254658108304675,0
12,Bayesian,-1.60853835651238,0.957499876033437,-3.4977622175,0.33901938849999996,0.094,0
13,Oracle,-1.1867059450832782,1.2497961288525272,-3.6362613456518122,1.2628494554852558,0.3423563981983315,0
13,Naive,-0.9262249123511455,1.1382431778899906,-3.1571405466639453,1.3046907219616541,0.41579849055214646,0
13,StdRC,-0.9735885766830654,1.1964486602590947,-3.3185848601420904,1.3714077067759594,0.41579849055214635,0
13,GRC,-0.968358182744258,1.1873007670511482,-3.2954249249812886,1.3587085594927728,0.4147310325392888,0
13,Bayesian,-1.2828100603111,0.7616787565082205,-2.7743526375000003,0.1313277212499999,0.076,0
14,Oracle,-0.8542451862162341,1.1655738627790835,-3.138727978584469,1.4302376061520006,0.4636214628976466,0
14,Naive,-1.3623600560536548,1.3365540185998588,-3.9819577959016557,1.257237683794346,0.30805681958236575,0
14,StdRC,-1.4342220197787396,1.407054761758359,-4.19199867710071,1.3235546375432303,0.30805681958236564,0
14,GRC,-1.4134699975861116,1.405434277403604,-4.168070563935251,1.3411305687630275,0.3145514313082323,0
